url_length,n_slash,n_questionmark,n_equal,n_at,n_and,n_exclamation,n_asterisk,n_hastag,n_percent,dots_per_length,hyphens_per_length,is_long_url,has_many_dots,has_ssl,is_cloudflare_protected,special_char_density,suspicious_tld_risk,has_redirects,risk_score,url_complexity,url_entropy,digit_to_alpha_ratio,slash_per_length,query_param_count,url_token_count,homograph_risk,padding_char_ratio,has_iframe,right_click_disabled,has_popup_window,has_favicon_mismatch,has_external_form_action,meta_refresh_redirect,obfuscated_js_score,external_link_ratio,html_form_count,brand_tng_mismatch,brand_maybank_mismatch,brand_cimb_mismatch,phishing
37,0,0,0,0,0,0,0,0,0,0.07894736842105263,0.0,0,0,1,0,0.0,1,0,-2.0,1.87,0.405977,0.0,0.0,0,3,0.0,0.0,1,0,1,0,0,0,1,0.4146,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0.01282051282051282,0.0,1,0,0,0,0.0,2,1,5.0,1.27,0.100001,0.0,0.0,0,1,0.0,0.0,1,1,0,0,0,0,0,0.7851,2,0,1,0,1
126,0,1,3,0,2,0,0,0,0,0.031496062992125984,0.007874015748031496,1,0,0,1,0.047244094488188976,1,1,3.47244094488189,6.359999999999999,0.727795,0.0,0.0,3,8,0.0,0.0,0,0,1,0,1,0,1,0.3402,1,0,1,0,1
18,0,0,0,0,0,0,0,0,0,0.10526315789473684,0.0,0,0,1,1,0.0,0,1,-1.0,1.18,0.503258,0.0,0.0,0,2,0.0,0.0,0,0,0,0,0,0,0,0.5626,0,0,1,0,0
55,0,0,0,0,0,0,0,0,0,0.03571428571428571,0.03571428571428571,0,0,1,1,0.03571428571428571,0,1,-0.6428571428571428,2.15,0.448747,0.0,0.0,0,2,0.0,0.0,1,0,0,1,0,0,1,0.093,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0.09090909090909091,0.030303030303030304,0,0,0,1,0.030303030303030304,2,1,1.3030303030303032,2.12,0.644974,0.0,0.0,0,3,0.0,0.0,1,0,0,0,0,1,0,0.3265,1,0,1,0,1
19,0,0,0,0,0,0,0,0,0,0.1,0.0,0,0,1,1,0.0,0,1,-1.0,1.19,0.485461,0.0,0.0,0,2,0.0,0.0,0,0,0,0,0,1,1,0.0958,1,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0.024390243902439025,0.0,1,0,0,0,0.0,0,1,5.0,1.81,0.167027,0.0,0.0,0,2,0.0,0.0,1,0,1,0,0,0,2,0.5943,3,0,1,0,1
42,0,0,0,0,0,0,0,0,0,0.046511627906976744,0.0,0,0,1,1,0.0,0,0,-4.0,1.42,0.276195,0.0,0.0,0,2,0.0,0.0,0,0,0,0,0,1,0,0.535,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0.009523809523809525,0.09523809523809523,1,0,1,0,0.09523809523809523,0,0,0.9523809523809526,4.54,0.533507,0.0,0.0,0,1,0.0,0.0,0,0,0,1,0,0,0,0.5375,2,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.0,0,0,1,1,0.017543859649122806,0,0,-3.824561403508772,2.06,0.429181,0.0,0.0,0,3,0.0,0.0,1,0,0,1,0,0,1,0.2031,2,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0.045454545454545456,0.06818181818181818,0,0,1,0,0.06818181818181818,1,0,-1.3181818181818183,2.33,0.631471,0.0,0.0,0,2,0.0,0.0,0,0,0,1,1,0,0,0.5406,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0.011904761904761904,0.10714285714285714,1,0,1,0,0.10714285714285714,0,0,1.0714285714285712,4.029999999999999,0.58725,0.0,0.0,0,1,0.0,0.0,0,0,0,0,0,0,0,0.0819,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0.0625,0.0,0,0,1,0,0.0,0,1,1.0,1.31,0.345117,0.0,0.0,0,2,0.0,0.0,0,0,0,0,0,1,0,0.7945,0,1,0,0,1
25,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.0,0,0,1,0,0.0,0,0,-2.0,1.25,0.402179,0.0,0.0,0,2,0.0,0.0,0,0,1,0,0,0,1,0.0604,0,0,0,0,0
51,0,1,1,0,0,0,0,0,0,0.057692307692307696,0.0,0,0,0,0,0.019230769230769232,2,1,3.1923076923076925,3.41,0.597156,0.0,0.0,1,5,0.0,0.0,1,0,1,1,0,0,0,0.7759,1,1,1,0,1
31,0,0,0,0,0,0,0,0,0,0.0625,0.0,0,0,1,0,0.0,0,0,-2.0,1.31,0.345117,0.0,0.0,0,2,0.0,0.0,0,0,0,0,0,1,0,0.4365,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0.0392156862745098,0.0,0,0,0,0,0.0,2,1,3.0,1.5,0.242292,0.0,0.0,0,2,0.0,0.0,1,1,1,1,0,1,1,0.3031,0,0,0,0,1
34,0,0,0,0,0,0,0,0,0,0.05714285714285714,0.0,0,0,1,0,0.0,2,0,-2.0,1.34,0.322757,0.0,0.0,0,2,0.0,0.0,1,0,0,0,1,0,0,0.8594,1,1,1,0,1
27,0,0,0,0,0,0,0,0,0,0.07142857142857142,0.0,0,0,1,0,0.0,2,1,1.0,1.27,0.380947,0.0,0.0,0,2,0.0,0.0,0,0,1,0,0,0,1,0.3495,1,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0.046875,0.03125,0,0,1,1,0.03125,0,1,-0.6875,2.73,0.476998,0.0,0.0,0,3,0.0,0.0,0,0,0,0,0,1,1,0.0943,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0.029850746268656716,0.05970149253731343,0,0,1,0,0.05970149253731343,0,0,-1.4029850746268657,2.8600000000000003,0.522978,0.0,0.0,0,2,0.0,0.0,0,0,0,0,0,0,0,0.58,1,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0.04878048780487805,0.0,0,0,0,0,0.0,1,0,0.0,1.4,0.286397,0.0,0.0,0,2,0.0,0.0,0,0,0,1,1,1,2,0.8124,1,0,0,1,1
48,0,0,0,0,0,0,0,0,0,0.02040816326530612,0.061224489795918366,0,0,1,1,0.061224489795918366,0,1,-0.3877551020408161,1.88,0.481423,0.0,0.0,0,1,0.0,0.0,0,0,0,0,1,0,0,0.0055,0,0,0,0,0
126,0,1,3,0,2,0,0,0,0,0.031496062992125984,0.007874015748031496,1,0,0,0,0.047244094488188976,1,1,5.47244094488189,6.359999999999999,0.727795,0.0,0.0,3,8,0.0,0.0,0,0,0,0,0,0,2,0.3367,0,0,0,0,1
